trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
21,train,long,2024-10-18 02:00:00+00:00,68119.5427,68085.5,2024-10-21 13:00:00+00:00,67166.7813,stop_loss,67200.3815,70298.2962,0.12554891,8.5523,8.4327,16.9851,-119.6182,-128.0509,-1.1096,175.7656,-121.4739,11112.5664,10975.9632,LONG relative squeeze breakout | recent_high=67526.0 ratio=0.56
22,train,long,2024-10-29 14:00:00+00:00,71839.892,71804.0,2024-10-31 14:00:00+00:00,70907.4982,stop_loss,70942.9696,73956.5759,0.12747475,9.1578,9.0389,18.1967,-118.8567,-127.8956,-1.1186,226.9341,-154.9943,10975.9632,10838.9099,LONG relative squeeze breakout | recent_high=71578.9 ratio=0.19
23,train,short,2024-11-03 14:00:00+00:00,68014.1059,68048.13,2024-11-03 20:00:00+00:00,68778.0769,stop_loss,68743.705,66309.1924,0.15582661,10.5984,10.7175,21.3159,-119.047,-129.7645,-1.1414,83.4258,-150.4746,10838.9099,10698.547,SHORT relative squeeze breakout | recent_low=68200.0 ratio=0.29
24,train,short,2024-11-04 17:00:00+00:00,67722.122,67756.0,2024-11-05 05:00:00+00:00,68781.8345,stop_loss,68747.4608,65277.348,0.10790691,7.3077,7.422,14.7297,-114.3503,-121.7723,-1.1006,95.7266,-115.9738,10698.547,10569.467,SHORT relative squeeze breakout | recent_low=68203.0 ratio=0.53
25,train,long,2024-11-08 19:00:00+00:00,76850.406,76812.0,2024-11-09 17:00:00+00:00,75690.331,stop_loss,75728.1951,79521.5124,0.09752186,7.4946,7.3815,14.8761,-113.1327,-120.5141,-1.1012,34.0921,-110.7601,10569.467,10441.4582,LONG relative squeeze breakout | recent_high=76584.6 ratio=0.41
26,train,long,2024-11-12 19:00:00+00:00,88840.8082,88796.41,2024-11-21 03:00:00+00:00,95854.9755,take_profit,85953.8032,95902.927,0.03673198,3.2633,3.5209,6.7842,257.6443,254.1233,2.3964,259.445,-99.6472,10441.4582,10692.3183,LONG relative squeeze breakout | recent_high=88023.7 ratio=0.35
27,train,long,2024-11-29 03:00:00+00:00,96788.36,96739.98,2024-12-02 08:00:00+00:00,95471.5221,stop_loss,95519.2818,99791.7256,0.08759182,8.4779,8.3625,16.8404,-115.3442,-123.7068,-1.1129,160.4358,-167.8575,10692.3183,10560.1337,LONG relative squeeze breakout | recent_high=96023.5 ratio=0.52
28,train,long,2024-12-06 18:00:00+00:00,100894.482,100844.05,2024-12-09 03:00:00+00:00,98413.5402,stop_loss,98462.7716,106797.246,0.04434649,4.4743,4.3643,8.8386,-110.0211,-114.3854,-1.0607,44.5464,-109.1945,10560.1337,10441.274,LONG relative squeeze breakout | recent_high=99500.0 ratio=0.15
29,train,long,2024-12-12 15:00:00+00:00,101752.891,101702.04,2024-12-12 19:00:00+00:00,100234.1648,stop_loss,100284.307,105246.3726,0.07364767,7.4939,7.382,14.8759,-111.8507,-119.2327,-1.1024,57.9687,-179.7925,10441.274,10314.5475,LONG relative squeeze breakout | recent_high=101545.8 ratio=0.29
30,train,short,2024-12-30 14:00:00+00:00,92634.1797,92680.52,2024-12-30 17:00:00+00:00,93803.5414,stop_loss,93756.663,89990.1624,0.09584737,8.8787,8.9908,17.8696,-112.0802,-121.0711,-1.1253,105.7896,-150.0797,10314.5475,10184.5977,SHORT relative squeeze breakout | recent_low=93240.0 ratio=0.45
