trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
55,train,long,2025-10-21 04:15:00+00:00,108362.084,108307.93,2025-10-21 04:45:00+00:00,107731.3449,stop_loss,107785.2375,109353.315,0.0737571,7.9925,7.946,15.9384,-46.5215,-54.4674,-1.2802,0.9246,-52.4519,7988.4783,7926.0184,RSI=19.0 BB_lower=108697.5 close=108307.9 swing_low=108001.2
56,train,long,2025-10-21 23:00:00+00:00,109121.5135,109066.98,2025-10-21 23:30:00+00:00,108001.1091,stop_loss,108055.1366,111090.6667,0.07267111,7.93,7.8486,15.7785,-81.421,-89.2696,-1.1519,21.9232,-78.1726,7926.0184,7828.8189,RSI=29.5 BB_lower=109235.8 close=109067.0 swing_low=108271.7
57,train,long,2025-10-28 20:15:00+00:00,112979.1613,112922.71,2025-10-28 20:15:00+00:00,112473.2253,stop_loss,112529.49,113709.15,0.069329,7.8327,7.7977,15.6304,-35.076,-42.8737,-1.3752,0.0,-37.1396,7828.8189,7778.1124,RSI=28.7 BB_lower=113421.9 close=112922.7 swing_low=112755.0
58,train,long,2025-10-29 16:15:00+00:00,111107.6761,111052.16,2025-10-29 17:30:00+00:00,111662.6137,take_profit,110719.0035,111718.473,0.07004017,7.782,7.8209,15.6029,38.8679,31.0471,1.1405,49.0501,-8.6763,7778.1124,7801.3775,RSI=21.8 BB_lower=111366.2 close=111052.2 swing_low=110960.0
59,train,long,2025-10-29 18:45:00+00:00,109811.3883,109756.51,2025-10-29 19:00:00+00:00,111250.6768,take_profit,108981.6,111306.33,0.07107895,7.8053,7.9076,15.7129,102.3031,94.3955,1.6005,115.6641,-9.5152,7801.3775,7887.9678,RSI=26.3 BB_lower=110223.3 close=109756.5 swing_low=109200.0
60,train,long,2025-10-30 04:30:00+00:00,108444.215,108390.02,2025-10-30 05:30:00+00:00,109544.2864,take_profit,107785.487,109599.086,0.07277393,7.8919,7.972,15.8639,80.0565,72.0846,1.5037,107.6221,-37.781,7887.9678,7952.1604,RSI=21.5 BB_lower=109314.4 close=108390.0 swing_low=108001.5
61,train,long,2025-10-30 12:30:00+00:00,108838.6922,108784.3,2025-10-30 12:45:00+00:00,108396.7978,stop_loss,108451.0233,109450.8534,0.07310026,7.9561,7.9238,15.88,-32.3026,-40.2264,-1.4195,19.4664,-40.793,7952.1604,7903.9778,RSI=28.5 BB_lower=109024.2 close=108784.3 swing_low=108668.4
62,train,long,2025-11-03 03:15:00+00:00,108287.8569,108233.74,2025-11-03 03:45:00+00:00,107855.0843,stop_loss,107909.0388,108883.1424,0.07302693,7.9079,7.8763,15.7843,-31.6041,-39.4804,-1.4271,12.6894,-27.7807,7903.9778,7856.5895,RSI=24.9 BB_lower=108601.1 close=108233.7 swing_low=108204.2
63,train,long,2025-11-03 15:30:00+00:00,106045.6363,105992.64,2025-11-03 15:30:00+00:00,105468.2845,stop_loss,105521.045,106935.83,0.07412392,7.8605,7.8177,15.6782,-42.7956,-50.6133,-1.3016,38.6937,-39.6293,7856.5895,7798.1157,RSI=29.3 BB_lower=106705.2 close=105992.6 swing_low=105732.5
64,train,long,2025-11-04 05:45:00+00:00,104996.7822,104944.32,2025-11-04 05:45:00+00:00,104577.1723,stop_loss,104629.487,105573.9859,0.07430717,7.802,7.7708,15.5728,-31.18,-38.9509,-1.4272,6.5032,-59.2066,7798.1157,7751.3628,RSI=26.3 BB_lower=105662.2 close=104944.3 swing_low=104934.6
65,train,long,2025-11-04 17:15:00+00:00,101390.59,101339.92,2025-11-04 17:15:00+00:00,100985.3823,stop_loss,101035.9002,101947.9595,0.07648874,7.7552,7.7242,15.4795,-30.9938,-38.7181,-1.4271,13.7313,-45.1735,7751.3628,7704.8895,RSI=23.3 BB_lower=102018.9 close=101339.9 swing_low=101250.0
66,train,long,2025-11-04 21:45:00+00:00,99353.9121,99304.26,2025-11-04 22:00:00+00:00,100369.6275,take_profit,98746.4713,100419.8374,0.07758871,7.7087,7.7876,15.4963,78.808,71.0205,1.5069,131.5973,-16.6949,7704.8895,7768.2013,RSI=21.8 BB_lower=99663.3 close=99304.3 swing_low=98944.4
67,train,long,2025-11-05 01:30:00+00:00,99162.9567,99113.39,2025-11-05 01:45:00+00:00,99658.2163,take_profit,98816.0498,99708.0703,0.07837691,7.7721,7.8109,15.583,38.8169,31.006,1.1404,145.1582,-15.3742,7768.2013,7791.4352,RSI=28.8 BB_lower=99400.3 close=99113.4 swing_low=99081.9
68,train,long,2025-11-06 16:45:00+00:00,100643.7367,100593.45,2025-11-06 17:45:00+00:00,101528.864,take_profit,100100.3481,101579.6538,0.0774547,7.7953,7.8639,15.6592,68.5573,60.6934,1.4421,100.8904,-24.2895,7791.4352,7844.3333,RSI=24.8 BB_lower=101149.2 close=100593.4 swing_low=100300.9
