trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
103,train,short,2024-08-01 15:00:00+00:00,63903.8621,63935.83,2024-08-01 15:15:00+00:00,63269.1085,take_profit,64215.1661,63237.4897,0.1314905,8.4028,8.3193,16.722,83.4641,75.1448,1.8358,139.0462,-7.6446,8406.9541,8473.6962,SHORT resume below prev_low=64073.4 | pullbacks=1 ATR%=0.36%
104,train,short,2024-08-02 14:15:00+00:00,64605.691,64638.0,2024-08-02 14:30:00+00:00,65103.9298,stop_loss,65071.3941,63554.5147,0.13109465,8.4695,8.5348,17.0042,-65.3164,-73.8512,-1.2097,95.7477,-66.1135,8473.6962,8391.3755,SHORT resume below prev_low=65075.0 | pullbacks=3 ATR%=0.56%
105,train,short,2024-08-02 21:15:00+00:00,61877.1859,61908.13,2024-08-03 01:00:00+00:00,60607.4393,take_profit,62440.5217,60577.1507,0.13554561,8.3872,8.2151,16.6023,172.1086,163.8935,2.1464,185.9938,-50.5333,8391.3755,8546.8818,SHORT resume below prev_low=62268.0 | pullbacks=1 ATR%=0.72%
106,train,short,2024-08-03 22:45:00+00:00,60507.8709,60538.13,2024-08-04 02:00:00+00:00,60942.5691,stop_loss,60912.1131,59603.1723,0.14118179,8.5426,8.604,17.1466,-61.3715,-69.9755,-1.2261,26.524,-66.4174,8546.8818,8468.3637,SHORT resume below prev_low=60585.6 | pullbacks=3 ATR%=0.51%
107,train,short,2024-08-05 06:00:00+00:00,52691.631,52718.0,2024-08-05 06:15:00+00:00,50299.8317,take_profit,53695.3222,50274.6944,0.08664863,4.5657,4.3584,8.9241,207.2461,202.8877,2.3329,319.8748,-26.2241,8468.3637,8666.6858,SHORT resume below prev_low=52832.7 | pullbacks=1 ATR%=1.54%
108,train,long,2024-08-07 03:15:00+00:00,56832.402,56804.0,2024-08-07 14:15:00+00:00,56269.5703,stop_loss,56297.7192,58069.7021,0.15257175,8.671,8.5851,17.2562,-85.8722,-94.4574,-1.1579,137.8712,-105.0551,8666.6858,8563.5574,LONG resume above prev_high=56797.3 | pullbacks=1 ATR%=0.74%
109,train,long,2024-08-08 15:45:00+00:00,59178.2643,59148.69,2024-08-08 21:30:00+00:00,60456.8842,take_profit,58613.3149,60487.1278,0.14478017,8.5678,8.753,17.3208,185.1188,176.3658,2.1562,217.84,-12.9686,8563.5574,8731.3554,LONG resume above prev_high=58999.0 | pullbacks=1 ATR%=0.75%
110,train,long,2024-08-09 22:30:00+00:00,60894.412,60863.99,2024-08-09 23:15:00+00:00,60364.613,stop_loss,60394.8104,62036.939,0.14345684,8.7357,8.6597,17.3954,-76.0033,-84.663,-1.1813,12.9955,-78.2804,8731.3554,8637.9567,LONG resume above prev_high=60842.1 | pullbacks=1 ATR%=0.64%
111,train,short,2024-08-11 20:15:00+00:00,58992.1991,59021.72,2024-08-12 00:30:00+00:00,58225.7065,take_profit,59351.7647,58196.6082,0.14635217,8.6336,8.5215,17.1551,112.1779,103.6564,1.9698,130.5665,-52.2244,8637.9567,8732.9795,SHORT resume below prev_low=59615.0 | pullbacks=1 ATR%=0.47%
112,train,short,2024-08-12 08:45:00+00:00,58602.674,58630.88,2024-08-12 11:00:00+00:00,59030.7234,stop_loss,59001.2228,57705.0231,0.14894846,8.7288,8.7925,17.5213,-63.7573,-72.5498,-1.2221,71.0371,-123.2662,8732.9795,8651.7009,SHORT resume below prev_low=58719.1 | pullbacks=3 ATR%=0.53%
113,train,short,2024-08-12 16:30:00+00:00,59770.09,59799.99,2024-08-13 16:30:00+00:00,60499.5399,stop_loss,60469.3053,58126.7018,0.12926196,7.726,7.8203,15.5463,-94.2901,-102.1104,-1.1298,178.0209,-116.7067,8651.7009,8541.8645,SHORT resume below prev_low=59950.0 | pullbacks=2 ATR%=0.93%
114,train,long,2024-08-14 12:30:00+00:00,61730.84,61688.0,2024-08-14 12:30:00+00:00,61386.5538,stop_loss,61417.2624,62364.8439,0.13846882,8.5478,8.5001,17.0479,-47.6729,-56.173,-1.2937,9.5765,-110.9038,8541.8645,8477.1436,LONG resume above prev_high=61384.0 | pullbacks=2 ATR%=0.37%
115,train,short,2024-08-14 23:45:00+00:00,58780.595,58809.99,2024-08-15 02:00:00+00:00,58150.5056,take_profit,59085.408,58121.4449,0.14414462,8.4729,8.3821,16.855,90.824,82.4419,1.8764,111.0771,-38.0318,8477.1436,8551.1126,SHORT resume below prev_low=58882.3 | pullbacks=3 ATR%=0.39%
116,train,short,2024-08-15 07:30:00+00:00,57780.5953,57809.5,2024-08-15 07:45:00+00:00,58109.1553,stop_loss,58080.1152,57132.962,0.14791881,8.5468,8.5954,17.1423,-48.6002,-57.1956,-1.291,9.8684,-53.1642,8551.1126,8485.3702,SHORT resume below prev_low=58054.5 | pullbacks=2 ATR%=0.39%
